"id","店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類","lat","lng"
"1","紀三井寺","Kimiidera Temple","和歌山市紀三井寺1201","1201 Kimiidera, Wakayama-shi","和歌山市エリア","観光スポット,その他","L","34.183601","135.191711"
"2","シマ商店","Shima Shoten Food Shop","和歌山市和歌浦南3-5-19","3-5-19 Wakauraminami, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.185242","135.170593"
"3","コーヒーハウスノッティパイン","Coffee House Knotty Pine","和歌山市吹上2-4-4","2-4-4 Fukiage, Wakayama-shi","和歌山市エリア","グルメ","N","34.221096","135.170181"
"4","三年坂モカ","Sannenzaka MOCA Cafe","和歌山市片岡町1丁目1-23","1-1-23 Kataokacho, Wakayama-shi","和歌山市エリア","グルメ","N","34.225182","135.174438"
"5","レストランカフェデサフィナード","Restaurant Cafe Desafinado","和歌山市紀三井寺807-2","807-2 Kimiidera, Wakayama-shi","和歌山市エリア","グルメ","N","34.188656","135.181854"
"6","ホテルはやし","Hotel Hayashi","和歌山市紀三井寺673","673 Kimiidera, Wakayama-shi","和歌山市エリア","宿泊","N","34.18499","135.187424"
"7","産直市場よってっていなり店","Farmer's market Sanchoku Ichiba Yottette, Inari","田辺市稲成町270-1","270-1 Inaricho, Tanabe-shi","熊野エリア","グルメ,ショッピング","N","33.741989","135.374359"
"8","産直市場よってって貴志川店","Farmer's market Sanchoku Ichiba Yottette, Kishigawa","紀の川市貴志川町前田166","166 Maeda, Kishigawacho, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング","N","34.22377","135.322586"
"9","バールヌメロオンセ","Bar Numero Once (No. 11)","和歌山市十一番丁16","16 Juichibancho, Wakayama-shi","和歌山市エリア","グルメ","L","34.2323","135.175293"
"10","和歌山バス　紀伊駅前定期券発売所","Wakayama Bus season ticket shop","紀の川市北野410-3","410-3 Kitano, Kinokawa-shi","和歌山市エリア","公共交通","N","34.284973","135.385361"
"11","酒のワールド　橋本店","Sake no World Hashimoto store, liquor shop","橋本市隅田町河瀬429","429 Kawase, Shudacho, Hashimoto-shi","高野山エリア","ショッピング","L","34.323391","135.62822"
"12","酒のワールド　次郎丸ストア","Sake no World Jiromaru store, liquor shop","和歌山市次郎丸17","17 Jiromaru, Wakayama-shi","和歌山市エリア","ショッピング","L","34.254635","135.151215"
"13","山下時計店","Yamashita Tokeiten Watch Store","和歌山市本町3-31","3-31 Honmachi, Wakayama-shi","和歌山市エリア","ショッピング","N","34.235359","135.174667"
"14","双子島荘","Futagojimaso Hotel","和歌山市雑賀崎599","599 Saikazaki, Wakayama-shi","和歌山市エリア","宿泊","N","34.191654","135.141403"
"15","丸源ラーメン田辺店","Marugen Ramen Restaurant, Tanabe","田辺市上の山1-6-11","1-6-11 Uenoyama, Tanabe-shi","熊野エリア","グルメ","N","33.736027","135.365952"
"16","まいどおおきに田辺新庄食堂","Maidookini restaurant, Tanabe-shinjyo","田辺市新庄町1977-1","1977-1 Shinjocho, Tanabe-shi","熊野エリア","グルメ","N","33.717064","135.404175"
"17","赤から紀伊田辺店","Akakara Restaurant, Kiitanabe","田辺市上の山1丁目2-18","1-2-18 Uenoyama, Tanabe-shi","熊野エリア","グルメ","N","33.736794","135.368637"
"18","まいどおおきに御坊財部食堂","Maidookini restaurant, Gobo-takara","御坊市湯川町財部70-2","70-2 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","グルメ","N","33.902966","135.149612"
"19","まいどおおきに新宮佐野食堂","Maidookini restaurant, Shingu-sano","新宮市佐野3-11-19","3-11-19 Sano, Shingu-shi","熊野エリア","グルメ","N","33.674515","135.970322"
"20","丸源ラーメン御膳松店","Marugen Ramen Restaurant, Gozenmatsu","和歌山市湊1827-6","1827-6 Minato, Wakayama-shi","和歌山市エリア","グルメ","N","34.236523","135.154083"
"21","炭火焼肉屋さかい岩出店","Sumibiyakinikuya restaurant Sakai,Iwade","岩出市中島872-2","872-2 Nakajima, Iwade-shi","和歌山市エリア","グルメ","N","34.258621","135.29953"
"22","割烹　恵比寿","Kappo Restaurant Ebisu","和歌山市黒田261-2","261-2 Kuroda, Wakayama-shi","和歌山市エリア","グルメ","L","34.236649","135.197968"
"23","ビジネスホテル圭","Business Hotel Kei","和歌山市紀三井寺738-2","738-2 Kimiidera, Wakayama-shi","和歌山市エリア","宿泊","L","34.187965","135.18541"
"24","中国酒家くぅくぅ","Chinese restaurant Kuku","和歌山市元寺町2丁目13番地","2-13 Motoderamachi, Wakayama-shi","和歌山市エリア","グルメ","L","34.235756","135.177124"
"25","和粋彩いずみ","Japanese restaurant Wasuisai Izumi","和歌山市十番丁59ﾗｲｵﾝｽﾞﾏﾝｼｮﾝ1F","Lions Mansion 1F, 59 Jubancho, Wakayama-shi","和歌山市エリア","グルメ","N","34.230846","135.176392"
