"店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類"
"紀三井寺","Kimiidera Temple","和歌山市紀三井寺1201","1201 Kimiidera, Wakayama-shi","和歌山市エリア","観光スポット,その他","L"
"シマ商店","Shima Shoten Food Shop","和歌山市和歌浦南3-5-19","3-5-19 Wakauraminami, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"コーヒーハウスノッティパイン","Coffee House Knotty Pine","和歌山市吹上2-4-4","2-4-4 Fukiage, Wakayama-shi","和歌山市エリア","グルメ","N"
"三年坂モカ","Sannenzaka MOCA Cafe","和歌山市片岡町1丁目1-23","1-1-23 Kataokacho, Wakayama-shi","和歌山市エリア","グルメ","N"
"レストランカフェデサフィナード","Restaurant Cafe Desafinado","和歌山市紀三井寺807-2","807-2 Kimiidera, Wakayama-shi","和歌山市エリア","グルメ","N"
"ホテルはやし","Hotel Hayashi","和歌山市紀三井寺673","673 Kimiidera, Wakayama-shi","和歌山市エリア","宿泊","N"
"産直市場よってっていなり店","Farmer's market Sanchoku Ichiba Yottette, Inari","田辺市稲成町270-1","270-1 Inaricho, Tanabe-shi","熊野エリア","グルメ,ショッピング","N"
"産直市場よってって貴志川店","Farmer's market Sanchoku Ichiba Yottette, Kishigawa","紀の川市貴志川町前田166","166 Maeda, Kishigawacho, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング","N"
"バールヌメロオンセ","Bar Numero Once (No. 11)","和歌山市十一番丁16","16 Juichibancho, Wakayama-shi","和歌山市エリア","グルメ","L"
"和歌山バス　紀伊駅前定期券発売所","Wakayama Bus season ticket shop","紀の川市北野410-3","410-3 Kitano, Kinokawa-shi","和歌山市エリア","公共交通","N"
"酒のワールド　橋本店","Sake no World Hashimoto store, liquor shop","橋本市隅田町河瀬429","429 Kawase, Shudacho, Hashimoto-shi","高野山エリア","ショッピング","L"
"酒のワールド　次郎丸ストア","Sake no World Jiromaru store, liquor shop","和歌山市次郎丸17","17 Jiromaru, Wakayama-shi","和歌山市エリア","ショッピング","L"
"山下時計店","Yamashita Tokeiten Watch Store","和歌山市本町3-31","3-31 Honmachi, Wakayama-shi","和歌山市エリア","ショッピング","N"
"双子島荘","Futagojimaso Hotel","和歌山市雑賀崎599","599 Saikazaki, Wakayama-shi","和歌山市エリア","宿泊","N"
"丸源ラーメン田辺店","Marugen Ramen Restaurant, Tanabe","田辺市上の山1-6-11","1-6-11 Uenoyama, Tanabe-shi","熊野エリア","グルメ","N"
"まいどおおきに田辺新庄食堂","Maidookini restaurant, Tanabe-shinjyo","田辺市新庄町1977-1","1977-1 Shinjocho, Tanabe-shi","熊野エリア","グルメ","N"
